frame_index,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,anger,disgust,fear,happiness,sadness,surprise,neutral,Identity,frame
,0.66275734,0.45024827,0.4312967,0.28842333,0.1124074,0,0.113539785,0.009142957,0,0.027626082,0.34356532,0.13285351,0.60936147,0,0.7436877,0.47086257,0.000196785,0.08358198,0.40764418,0.05967836,0.000316396,2.20E-05,1.89E-06,0.000836271,0.00021187,1.36E-05,0.99859804,Person_0,0
,0.58854973,0.4558617,0.3381487,0.23199965,0.113840155,0,0.1457275,0.00299915,0,0.03380314,0.32783905,0.2119927,0.5694986,0,0.667734,0.42602757,0.002872734,0.16480787,0.4475238,0.14491907,0.000279202,2.03E-05,1.45E-06,0.000727151,0.000131292,8.39E-06,0.9988323,Person_0,1
,0.4950636,0.45333892,0.37910664,0.3098912,0.091483034,0,0.1338293,0.017549526,0,0.03394401,0.34494293,0.18077083,0.5637097,0,0.7180865,0.40916637,0.002018571,0.08562743,0.19004074,0.09259424,0.000248773,1.25E-05,2.18E-06,0.000744966,0.00015829,1.11E-05,0.99882215,Person_0,2
,0.4597758,0.4096758,0.4290278,0.24444188,0.09887466,0,0.12603246,0.029389659,1,0.040812008,0.44454244,0.2696143,0.6152355,0,0.64283854,0.45709753,0.005657365,0.15215914,0.2688995,0.12391164,0.000280245,1.06E-05,3.09E-06,0.000720716,0.000355917,1.93E-05,0.99861014,Person_0,3
,0.5793916,0.42208964,0.30643204,0.26142463,0.09943707,0,0.13161272,0.009006021,0,0.029547963,0.41490036,0.28112537,0.6091341,0,0.62172204,0.6516518,0.001237656,0.0829823,0.36601862,0.11707441,0.001309956,9.30E-06,5.30E-06,0.000225958,0.000829728,1.57E-05,0.9976041,Person_0,4
,0.6177212,0.39087203,0.5303605,0.29863083,0.11112986,0,0.13731009,0.032998126,0,0.03622843,0.42013118,0.36462736,0.623631,0,0.63972193,0.67073715,0.000289737,0.044907287,0.3026554,0.08384691,0.0001877,8.65E-06,2.87E-06,0.000687608,0.000159618,2.61E-05,0.9989274,Person_0,5
,0.4608616,0.4006184,0.48388705,0.26445496,0.10465859,0,0.12895317,0.004417957,0,0.038173903,0.42251885,0.31664005,0.5765521,0,0.71253896,0.46365348,0.009468485,0.11850058,0.33013302,0.12683812,0.000604918,7.89E-06,5.68E-06,0.000206413,0.000822229,1.69E-05,0.998336,Person_0,6
,0.5162946,0.43948177,0.2969565,0.26874134,0.11299019,0,0.1493352,0.004272537,0,0.025300391,0.3852713,0.46556056,0.6567653,0,0.7036643,0.5162077,0.009641727,0.07433161,0.21077506,0.18485332,0.000172182,1.15E-05,1.86E-06,0.000723953,0.000240539,7.72E-06,0.9988423,Person_0,7
,0.50674033,0.36723626,0.46392196,0.33943933,0.086309,0,0.107829995,0.044170417,0,0.03269455,0.33889773,0.34496203,0.62982184,0,0.6801055,0.44095573,0.003660865,0.13407725,0.20144534,0.062245145,0.000847129,2.29E-05,8.15E-06,0.000400445,0.000642646,2.07E-05,0.99805814,Person_0,8
,0.502541,0.39515153,0.52799374,0.24042122,0.117938116,0,0.155213,0.022760402,0,0.024299357,0.33728203,0.3042871,0.66002077,0,0.63030016,0.61071897,0.019019304,0.08848941,0.16604824,0.12619963,9.05E-05,8.67E-06,2.84E-06,0.000459247,0.000270718,1.14E-05,0.9991566,Person_0,9
