Pitch,Roll,Yaw,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,anger,disgust,fear,happiness,sadness,surprise,neutral,Identity,frame
-0.714668174,0.773107741,0.268187917,0.56812847,0.4231795,0.32636896,0.33173373,0.10571747,0,0.07587343,0.004745123,0,0.047748096,0.3421964,0.39869636,0.59383506,0,0.6932146,0.30410388,0.001308856,0.14750084,0.37340865,0.054584228,8.71E-05,5.35E-06,6.32E-06,0.00038041,0.000338726,6.66E-05,0.9991155,Person_0,0
-1.146254951,0.754440835,-0.081294535,0.6870385,0.4275196,0.28962898,0.31506652,0.1002223,0,0.09076163,0.004230416,0,0.02796881,0.2649911,0.501619,0.5503316,0,0.5891622,0.33979502,0.003226161,0.12185555,0.116974734,0.038438644,0.001121831,1.66E-05,7.53E-06,0.00084468,0.000329741,1.82E-05,0.99766135,Person_0,1
-0.908903665,0.94616601,-0.133646432,0.6449163,0.37007895,0.18067658,0.27330324,0.10479556,0,0.11974491,0.004070014,0,0.05484564,0.2849169,0.6031435,0.5624184,0,0.5793851,0.3198554,0.001345019,0.14049524,0.20128867,0.14972909,0.000543104,3.09E-05,7.35E-06,0.0018031,0.000238123,5.77E-05,0.99731976,Person_0,2
-0.677905183,0.82844613,-0.291061712,0.66181296,0.3381636,0.32310534,0.3418194,0.10145398,0,0.101149306,0.005090797,0,0.043936443,0.30033326,0.5109075,0.6052837,0,0.628821,0.35793898,0.000978677,0.10000546,0.22889388,0.039083604,6.55E-05,4.04E-06,3.04E-06,0.000461335,0.00025847,4.74E-05,0.9991603,Person_0,3
-0.630475522,1.319309381,-0.172142474,0.61196274,0.40004882,0.27835533,0.2806086,0.09891345,0,0.14051901,0.003244407,0,0.04666384,0.22812408,0.5255738,0.5194797,0,0.5963931,0.39208424,0.001261737,0.061746284,0.50217235,0.10777459,6.36E-05,3.54E-06,5.55E-06,0.000124711,0.000781387,4.63E-05,0.9989749,Person_0,4
-0.805282133,1.306028127,-0.003898037,0.6362473,0.5221189,0.23535015,0.22531556,0.1135537,0,0.15756595,0.000675793,0,0.043812726,0.295034,0.4784531,0.56724954,0,0.59223074,0.68585193,0.000873748,0.14021978,0.46466818,0.16112651,0.000184509,1.37E-05,8.48E-06,0.000209231,0.000383069,5.08E-05,0.99915016,Person_0,5
-0.808602392,1.467205405,-0.021786144,0.55789053,0.44115016,0.28004876,0.22347155,0.10945751,0,0.15449189,0.003400222,0,0.039699074,0.32551154,0.43155625,0.6089647,0,0.6305006,0.52371615,0.003061088,0.091995254,0.22997576,0.16814148,9.00E-05,8.68E-06,4.56E-06,0.0001999,0.000821552,2.48E-05,0.99885046,Person_0,6
-0.764657152,1.54402168,-0.289773911,0.66542953,0.54724866,0.36830038,0.2850784,0.11448193,0,0.110056564,0.000621056,0,0.03139977,0.27350652,0.41629693,0.49382928,0,0.6428781,0.5801682,0.000207774,0.095207416,0.31477112,0.041930724,4.63E-05,1.62E-05,4.15E-06,0.00146255,0.000256679,6.38E-05,0.99815035,Person_0,7
-1.489551251,1.720985714,-0.719666671,0.5418856,0.42730424,0.38851786,0.2513456,0.10228932,0,0.12126323,0.008460075,0,0.029508173,0.25453284,0.5559802,0.5730098,0,0.6720896,0.21476048,0.007512771,0.110971205,0.32741362,0.10938662,5.04E-05,8.48E-06,3.05E-06,0.001430407,0.000400233,2.60E-05,0.99808145,Person_0,8
-1.211930085,2.029437572,-0.88792893,0.62224996,0.45024967,0.21650587,0.3470844,0.10392107,0,0.08319014,0.001260228,0,0.046422828,0.2661261,0.26155603,0.5161703,0,0.6676274,0.26078698,0.004052567,0.084379874,0.25113413,0.05587394,4.80E-05,4.09E-06,4.72E-06,0.000503683,0.000390679,6.10E-05,0.99898785,Person_0,9
-1.229428821,1.747613359,-0.505925264,0.6656318,0.4489063,0.18952088,0.28641933,0.0993167,0,0.16733512,0.00073397,0,0.052420773,0.32394594,0.26917467,0.51864797,0,0.51368946,0.3316813,0.007629004,0.15560788,0.32361233,0.23749822,0.000150446,2.26E-05,5.26E-06,0.001165643,0.000209561,3.14E-05,0.9984151,Person_0,10
